iteration,time_ms
1,341.156
2,234.894
3,251.021
4,234.380
5,340.081
6,237.628
7,230.113
8,232.768
9,232.534
10,1360.255
11,231.983
12,1331.993
13,231.157
14,326.177
15,237.856
16,237.559
17,1317.120
18,243.703
19,236.261
20,458.132
21,234.330
22,233.863
23,1251.503
24,235.531
25,236.733
26,238.723
27,236.393
28,2937.902
29,243.120
30,240.382
31,247.013
32,242.272
33,238.944
34,237.178
35,237.249
36,234.587
37,1238.977
38,232.882
39,240.817
40,230.621
41,699.799
42,237.272
43,233.510
44,235.012
45,326.537
46,235.307
47,237.021
48,329.732
49,240.601
50,235.160
51,236.615
52,238.567
53,238.703
54,231.060
55,232.838
56,554.937
57,230.524
58,235.923
59,899.989
60,233.192
61,240.987
62,239.001
63,232.951
64,232.679
65,663.458
66,327.542
67,238.173
68,237.567
69,232.574
70,460.933
71,236.957
72,1399.184
73,239.513
74,584.831
75,232.829
76,236.623
77,233.907
78,1264.341
79,328.137
80,740.449
81,236.631
82,245.578
83,333.253
84,238.449
85,233.808
86,235.540
87,1266.280
88,234.222
89,235.423
90,237.415
91,408.526
92,339.858
93,240.731
94,326.832
95,234.371
96,241.339
97,235.764
98,239.324
99,231.011
100,240.541
101,234.231
102,333.068
103,235.692
104,239.345
105,235.018
106,234.323
107,233.658
108,233.728
109,328.279
110,232.281
111,2284.145
112,234.795
113,331.081
114,329.917
115,234.888
116,456.294
117,240.161
118,236.958
119,234.816
120,231.271
121,231.113
122,236.757
123,237.395
124,457.485
125,233.793
126,239.552
127,233.479
128,237.710
129,231.461
130,235.766
131,233.505
132,236.726
133,1311.152
134,236.236
135,236.463
136,233.691
137,232.957
138,234.536
139,238.994
140,238.556
141,233.873
142,236.051
143,554.280
144,235.846
145,237.708
146,235.019
147,235.453
148,235.664
149,238.280
150,236.308
151,235.160
152,330.957
153,236.753
154,427.299
155,232.240
156,240.010
157,237.277
158,233.674
159,238.424
160,238.744
161,238.413
162,7096.347
163,459.692
164,232.952
165,240.083
166,236.635
167,239.689
168,237.919
169,240.833
170,236.693
171,234.589
172,233.623
173,233.127
174,238.859
175,236.424
176,234.906
177,234.101
178,235.814
179,236.659
180,236.415
181,245.897
182,235.097
183,233.587
184,235.599
185,231.953
186,232.319
187,234.700
188,233.047
189,234.491
190,231.736
191,234.471
192,232.537
193,231.827
194,336.690
195,236.511
196,582.662
197,232.727
198,1326.076
199,234.861
200,331.363
201,233.392
202,232.117
203,1246.484
204,236.323
205,238.891
206,246.828
207,343.418
208,230.620
209,232.064
210,236.660
211,241.642
212,330.724
213,238.495
214,236.166
215,427.933
216,603.530
217,236.671
218,240.332
219,237.225
220,238.250
221,239.200
222,240.952
223,701.211
224,1322.004
225,232.525
226,237.189
227,236.998
228,233.275
229,234.723
230,230.653
231,332.154
232,237.992
233,235.005
234,238.895
235,234.765
236,235.085
237,1300.475
238,237.166
239,234.094
240,241.711
241,333.103
242,233.428
243,237.945
244,239.544
245,236.958
246,238.660
247,235.291
248,239.704
249,238.667
250,242.020
251,232.990
252,235.923
253,323.367
254,231.504
255,234.990
256,238.689
257,235.670
258,234.240
259,235.396
260,1272.583
261,234.590
262,349.508
263,234.788
264,234.932
265,234.079
266,238.106
267,235.608
268,237.785
269,240.514
270,243.068
271,331.635
272,334.738
273,597.900
274,236.544
275,239.625
276,239.758
277,233.021
278,338.521
279,237.763
280,1326.786
281,329.558
282,232.243
283,431.399
284,240.256
285,456.118
286,236.931
287,601.706
288,234.601
289,235.493
290,230.159
291,1327.395
292,243.530
293,240.448
294,236.297
295,232.987
296,237.567
297,233.620
298,235.811
299,237.327
300,237.321
301,238.300
302,234.715
303,234.166
304,239.807
305,239.242
306,236.299
307,1008.374
308,238.105
309,238.512
310,1246.719
311,247.036
312,236.343
313,236.554
314,753.393
315,233.203
316,458.671
317,455.909
318,233.746
319,233.079
320,234.071
321,233.399
322,231.608
323,233.201
324,233.421
325,232.632
326,232.312
327,232.111
328,234.427
329,239.321
330,232.525
331,325.289
332,234.686
333,234.703
334,232.535
335,231.794
336,329.792
337,232.046
338,233.001
339,234.871
340,1246.576
341,234.722
342,1260.350
343,330.274
344,233.459
345,235.453
346,235.104
347,236.002
348,235.985
349,1249.205
350,234.854
351,236.645
352,239.818
353,585.161
354,326.856
355,238.888
356,1243.456
357,363.155
358,233.970
359,683.891
360,237.450
361,329.413
362,235.473
363,233.739
364,239.153
365,235.807
366,235.688
367,241.564
368,233.102
369,233.011
370,593.851
371,237.375
372,233.915
373,237.426
374,234.692
375,236.541
376,234.761
377,241.548
378,237.038
379,237.200
380,235.749
381,234.788
382,235.217
383,1428.707
384,233.602
385,462.400
386,237.213
387,335.469
388,239.892
389,238.981
390,235.272
391,235.210
392,234.084
393,454.210
394,236.641
395,233.023
396,236.133
397,234.171
398,235.449
399,234.807
400,331.623
401,1251.654
402,231.361
403,238.932
404,1238.660
405,233.923
406,329.117
407,746.947
408,239.588
409,236.039
410,1328.637
411,236.027
412,2843.288
413,238.603
414,235.438
415,235.974
416,234.344
417,332.083
418,230.040
419,337.306
420,231.804
421,239.855
422,235.905
423,239.034
424,234.129
425,233.617
426,235.190
427,328.562
428,234.435
429,233.028
430,1404.928
431,239.200
432,234.909
433,234.555
434,235.448
435,233.884
436,233.151
437,234.892
438,233.493
439,336.156
440,235.608
441,237.987
442,240.635
443,238.850
444,662.215
445,2232.014
446,333.163
447,242.009
448,238.643
449,239.343
450,229.361
451,234.285
452,1254.339
453,235.196
454,235.021
455,234.442
456,234.849
457,332.882
458,235.761
459,236.137
460,236.628
461,241.599
462,242.863
463,338.293
464,450.800
465,240.413
466,240.850
467,234.323
468,237.632
469,1318.558
470,1236.219
471,243.683
472,232.400
473,243.137
474,235.908
475,236.224
476,1245.473
477,242.643
478,235.063
479,233.284
480,232.514
481,235.455
482,234.139
483,234.021
484,234.485
485,348.460
486,234.716
487,233.163
488,233.655
489,233.362
490,235.465
491,327.971
492,238.603
493,233.747
494,238.410
495,239.694
496,238.302
497,237.246
498,236.612
499,236.261
500,235.636
