iteration,time_ms
1,230.138
2,227.598
3,227.522
4,231.410
5,582.349
6,228.441
7,228.610
8,228.348
9,232.303
10,227.746
11,230.806
12,229.481
13,229.474
14,230.141
15,229.715
16,228.944
17,229.487
18,229.954
19,230.369
20,229.378
21,325.107
22,230.517
23,245.440
24,229.469
25,229.381
26,227.791
27,227.737
28,326.484
29,1247.666
30,229.961
31,1234.134
32,230.361
33,230.619
34,326.284
35,231.272
36,231.104
37,324.402
38,229.716
39,328.228
40,607.574
41,228.682
42,227.700
43,227.097
44,322.679
45,229.834
46,322.139
47,231.204
48,575.852
49,228.126
50,226.657
51,227.247
52,228.831
53,226.573
54,232.052
55,227.621
56,228.963
57,231.137
58,227.648
59,230.162
60,241.830
61,234.900
62,230.982
63,246.896
64,238.028
65,253.288
66,242.252
67,1273.181
68,233.640
69,587.449
70,229.096
71,325.139
72,236.256
73,511.903
74,230.697
75,233.653
76,655.084
77,334.324
78,227.148
79,231.915
80,331.835
81,237.826
82,230.482
83,231.708
84,1246.084
85,418.254
86,231.619
87,233.814
88,235.890
89,232.101
90,230.478
91,230.634
92,1261.730
93,325.790
94,233.403
95,533.615
96,235.335
97,235.389
98,234.153
99,230.537
100,332.884
101,235.154
102,325.263
103,539.070
104,241.100
105,1253.867
106,232.798
107,231.953
108,228.908
109,233.201
110,233.585
111,232.388
112,233.759
113,235.133
114,230.419
115,1260.361
116,230.234
117,232.066
118,234.803
119,234.526
120,232.651
121,235.001
122,236.953
123,229.404
124,511.214
125,1258.969
126,322.525
127,233.061
128,231.892
129,233.806
130,232.934
131,1242.916
132,231.579
133,1243.067
134,233.922
135,586.592
136,230.611
137,230.987
138,230.070
139,602.077
140,231.435
141,230.343
142,234.103
143,236.712
144,604.210
145,229.661
146,1833.875
147,232.228
148,230.886
149,231.576
150,231.866
151,237.939
152,232.302
153,236.621
154,228.962
155,234.965
156,328.011
157,324.027
158,324.892
159,228.505
160,229.913
161,229.824
162,234.358
163,235.498
164,233.224
165,231.408
166,1512.569
167,229.995
168,229.205
169,233.336
170,232.528
171,598.619
172,232.458
173,230.985
174,628.229
175,233.342
176,1246.578
177,232.202
178,234.105
179,233.975
180,517.415
181,324.654
182,232.525
183,230.729
184,328.948
185,228.197
186,231.199
187,232.045
188,621.108
189,332.328
190,229.318
191,230.542
192,233.539
193,606.385
194,230.418
195,231.486
196,578.806
197,233.744
198,404.484
199,608.857
200,234.062
201,238.539
202,231.867
203,232.650
204,231.176
205,1252.025
206,1248.324
207,232.085
208,232.917
209,240.319
210,910.421
211,232.663
212,233.914
213,231.376
214,238.865
215,229.782
