scenario,description,configured_delay_ms,configured_loss_pct,configured_rate,ping_rtt_min_ms,ping_rtt_avg_ms,ping_rtt_max_ms,ping_loss_pct
S0,Direct veth,0,0,unlimited,0.034,0.041,0.052,0
S1,Datacenter,0.5,0,1gbit,1.973,2.975,4.288,0
S2,Broadband,17.5,0.1,10mbit,35.387,37.309,39.587,0
S3,Mobile 4G,35,3,10mbit,71.667,72.462,73.117,10
