iteration,time_ms
1,223.652
2,223.708
3,223.352
4,223.638
5,224.397
6,224.157
7,224.547
8,224.511
9,223.345
10,224.135
11,223.418
12,223.433
13,223.597
14,225.511
15,1234.553
16,223.468
17,223.873
18,223.742
19,569.279
20,223.396
21,223.697
22,223.474
23,224.782
24,223.599
25,223.602
26,224.022
27,226.119
28,223.870
29,224.012
30,314.025
31,223.973
32,223.151
33,223.267
34,223.406
35,223.405
36,223.517
37,223.748
38,223.714
39,223.600
40,223.483
41,223.430
42,440.158
43,223.575
44,223.896
45,223.901
46,224.163
47,439.378
48,223.668
49,1370.076
50,223.501
51,314.585
52,223.465
53,223.554
54,223.963
55,529.695
56,223.443
57,223.540
58,223.471
59,314.628
60,223.589
61,224.165
62,223.500
63,223.513
64,314.094
65,223.507
66,223.657
67,439.021
68,223.484
69,1373.086
70,438.952
71,223.924
72,223.865
73,223.631
74,223.546
75,314.483
76,223.325
77,223.360
78,223.362
79,223.524
80,224.267
81,1259.576
82,223.655
83,224.331
84,223.498
85,224.498
86,223.340
87,223.347
88,223.680
89,223.784
90,223.299
91,223.557
92,223.506
93,1286.584
94,223.794
95,223.780
96,223.887
97,441.253
98,224.133
99,1507.578
100,223.903
101,223.948
102,223.644
103,1364.796
104,223.494
105,565.058
106,223.722
107,223.663
108,438.529
109,313.432
110,223.518
111,223.491
112,314.349
113,223.942
114,224.059
115,224.897
116,223.924
117,314.876
118,223.988
119,224.526
120,223.351
121,314.073
122,224.220
123,224.263
124,223.685
125,225.082
126,224.450
127,223.459
128,223.424
129,223.722
130,223.877
131,223.357
132,223.800
133,223.484
134,223.861
135,224.937
136,223.457
137,223.733
138,224.503
139,223.764
140,224.510
141,224.526
142,315.978
143,442.010
144,1364.713
145,314.760
146,224.524
147,224.025
148,223.322
149,224.372
150,224.217
151,223.954
152,223.765
153,223.828
154,223.720
155,224.517
156,223.779
157,445.001
158,224.456
159,223.511
160,223.976
161,223.686
162,1236.397
163,223.459
164,224.605
165,223.482
166,225.204
167,224.156
168,1233.182
169,223.643
170,223.642
171,223.728
172,1584.083
173,314.678
174,223.852
175,224.008
176,225.003
177,223.787
178,223.844
179,224.655
180,1168.310
181,223.280
182,224.744
183,223.780
184,1336.537
185,223.373
186,223.329
187,223.461
188,223.421
189,223.624
190,313.399
191,223.524
192,223.703
193,223.454
194,223.383
195,1376.110
196,223.768
197,223.596
198,223.468
199,223.553
200,223.556
201,223.542
202,223.510
203,223.876
204,223.671
205,223.568
206,223.557
207,223.452
208,223.412
209,223.607
210,223.625
211,224.168
212,314.710
213,223.452
214,223.715
215,223.454
216,223.328
217,437.532
218,223.497
219,223.754
220,314.062
221,223.654
222,437.513
223,223.503
224,223.466
225,223.482
226,313.833
227,223.457
228,1239.465
229,314.046
230,223.696
231,314.228
232,223.527
233,223.562
234,223.887
235,313.451
236,223.558
237,223.832
238,224.040
239,224.551
240,568.958
241,224.481
242,224.158
243,224.896
244,314.656
245,223.599
246,223.717
247,571.581
248,223.899
249,223.607
250,224.210
251,1260.190
252,314.670
253,224.079
254,223.469
255,223.716
256,223.417
257,224.147
258,223.579
259,224.299
260,1232.322
261,223.430
262,224.026
263,572.070
264,565.171
265,223.557
266,224.566
267,315.763
268,223.814
269,223.633
270,438.536
271,223.561
272,313.808
273,223.553
274,437.594
275,314.455
276,223.442
277,590.654
278,1244.287
279,223.531
280,223.487
281,224.835
282,223.463
283,1485.919
284,223.568
285,223.491
286,224.003
287,223.725
288,223.888
289,223.952
290,568.323
291,223.590
292,224.179
293,2332.892
294,313.713
295,442.995
296,314.172
297,223.306
298,223.339
299,223.370
300,223.890
301,224.384
302,223.484
303,223.353
304,314.650
305,223.414
306,223.434
307,224.596
308,223.516
309,223.443
310,1259.585
311,567.827
312,223.991
313,223.571
314,223.506
315,536.565
316,223.689
317,224.401
318,1277.534
319,223.398
320,223.858
321,224.773
322,223.583
323,1372.730
324,224.202
325,444.539
